Model,Scenario,Region,Variable,Unit,1990,1995,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2020,2021,2022,2023,2024,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy|Solids|Biomass,EJ/yr,,,,,,,,,,,,,23.25131027,,,,,22.10281646,20.5456271,,,,,,7.518461955,,6.904013736,,4.280749942,,1.0140699,,0.02636268,,0,,0,,0.024956671
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy|Solids|Biomass|Traditional,EJ/yr,,,,,,,,,,,,,20.89393555,,,,,19.68605751,18.47817947,,,,,,0,,0,,0,,0,,0,,0,,0,,0
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy|Solids|Coal,EJ/yr,,,,,,,,,,,,,34.14053662,,,,,35.82259873,34.33773951,,,,,,15.2672888,,5.529049826,,1.393210421,,0,,0,,0,,0,,0
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy|Transportation,EJ/yr,,,,,,,,,,,,,17.84807703,,,,,24.15612409,27.3479458,,,,,,18.43999454,,16.13893498,,15.77562194,,15.60062136,,15.48583126,,15.47508701,,15.45506644,,15.43202486
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy|Transportation|Electricity,EJ/yr,,,,,,,,,,,,,0.496512142,,,,,0.716447438,0.856128993,,,,,,5.430094895,,9.725144883,,11.67313416,,11.65080292,,11.56762357,,11.57015851,,11.55385985,,11.53332185
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy|Transportation|Gases,EJ/yr,,,,,,,,,,,,,0.612481568,,,,,1.054150949,1.452204746,,,,,,0.01218748,,0,,0,,0,,0,,0,,0,,0
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy|Transportation|Hydrogen,EJ/yr,,,,,,,,,,,,,0,,,,,0,0,,,,,,0,,1.231020488,,3.806478683,,3.949818441,,3.918207682,,3.904928498,,3.901206594,,3.898703008
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy|Transportation|Liquids,EJ/yr,,,,,,,,,,,,,16.60269385,,,,,22.28461747,25.03961206,,,,,,12.99771216,,5.182769613,,0.296009102,,0,,0,,0,,0,,0
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy|Transportation|Liquids|Coal,EJ/yr,,,,,,,,,,,,,0,,,,,0,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy|Transportation|Liquids|Oil,EJ/yr,,,,,,,,,,,,,16.47169561,,,,,22.03143712,24.56353684,,,,,,12.60212877,,4.893588934,,0.296009102,,0,,0,,0,,0,,0
